KEY,CN,EN
APP_NAME,学形状和颜色,ShapeColor
UIMAIN_SHARE_TITLE,儿童涂色动物园-绘画好工具,Kids Coloring Zoo Paint Tool
UIMAIN_SHARE_DETAIL,涂色培养孩子的绘画技能和创造力,Coloring cultivate children's painting skills and creativity
UIGAME_SHARE_TITLE,儿童涂色动物园-绘画好工具,Kids Coloring Zoo Paint Tool
UIGAME_SHARE_DETAIL,涂色培养孩子的绘画技能和创造力,Coloring cultivate children's painting skills and creativity
STR_SETTING,设置,Setting
STR_MORE,更多游戏,More App
STR_APPCENTER,应用中心,App Center
STR_LANGUAGE,语言,Language
STR_PLACE,分类,Sort
STR_SETTING_COMMENT,好玩赞一个!,Funny like a!
STR_SETTING_VERSION,检查版本,Check Version
STR_SETTING_LANGUAGE,语言,Language
STR_SETTING_BACKGROUND_MUSIC,背景音乐,Background Music
STR_UIVIEWALERT_YES,确定,Yes
STR_UIVIEWALERT_NO,取消,No
STR_UIVIEWALERT_TITLE_APP_EXIT,退出,Quit
STR_UIVIEWALERT_MSG_APP_EXIT,是否退出游戏?,Are you sure to quit?
STR_UIVIEWALERT_TITLE_UPDATE_VERSION,检查更新,Check update
STR_UIVIEWALERT_MSG_NEWEST_VERSION,已经是最新版本了!,It's the latest version!
STR_UIVIEWALERT_TITLE_USERCOMMENT,用户评论,User comments
STR_UIVIEWALERT_MSG_USERCOMMENT,"亲,好玩,现在就去赞一个？","Pro, fun, and now to praise a?"
STR_UIVIEWALERT_YES_USERCOMMENT,马上评分,Score now
STR_UIVIEWALERT_NO_USERCOMMENT,残忍拒绝,Cruel refusal
STR_UIVIEWALERT_TITLE_GAME_FINISH,成功,Success
STR_UIVIEWALERT_MSG_GAME_FINISH,完全正确你太棒了！,You were right!
STR_UIVIEWALERT_YES_GAME_FINISH,下一组,Next
STR_UIVIEWALERT_NO_GAME_FINISH,返回,Back
STR_UIVIEWALERT_TITLE_USER_GUIDE,游戏说明,Game guide
STR_UIVIEWALERT_MSG_USER_GUIDE,拖动相同形状和相同颜色的元素重叠在一起即完成任务！,Drag the same shape and the same color elements overlap together to complete the task
STR_UIVIEWALERT_YES_USER_GUIDE,知道了,I got it
STR_TITLE_SHAPE,形状,Shape
STR_TITLE_COLOR,颜色,Color
STR_GAME_STATUS_UN_START,还没开始,not started
STR_GAME_STATUS_PLAY,进行中...,ongoing...
STR_GAME_STATUS_FINISH,熟练掌握,proficiency
STR_TITLE_LEARN_PROGRESS,学习进度,Learn Progress
STR_BTN_NOAD,去除广告,Remove AD
STR_BTN_RESTORE_NOAD,恢复内购,Restore purchase
STR_UIVIEWALERT_TITLE_NOAD,去除广告,Remove AD
STR_UIVIEWALERT_MSG_NOAD,是否花12元立即去除所有广告?,Do you spend $1.99 immediately to remove all the ads?
STR_UIVIEWALERT_YES_NOAD,确定,Yes
STR_UIVIEWALERT_NO_NOAD,取消,No
STR_UIVIEWALERT_TITLE_REMOVE_AD_FINISH,去除广告,Remove AD
STR_UIVIEWALERT_MSG_REMOVE_AD_FINISH,已经为您去除了所有广告,All the ads have been removed for you
STR_UIVIEWALERT_YES_REMOVE_AD_FINISH,知道了,Oh I see
STR_UIVIEWALERT_TITLE_SHOP_RESTORE_BUY,恢复购买,Restore Buy
STR_UIVIEWALERT_MSG_SHOP_RESTORE_BUY,正在恢复购买中请耐心等待!,"Please wait patiently for Restoring the purchase.!"
STR_UIVIEWALERT_YES_SHOP_RESTORE_BUY,取消,Cancel
STR_GOLD,金币,Gold
STR_SHOP,商店,Shop
STR_SHOP_TIP_AD,”小贴士:任何一个内购都将去除所有广告”,”Tip: any one purchase will remove all advertising”
STR_SHOP_IAP_TITLE0,获取3个汉字,Get 3 words
STR_SHOP_IAP_TITLE1,获取9个汉字,Get 9 words
STR_SHOP_IAP_TITLE2,获取30个汉字,Get 30 words
STR_SHOP_IAP_BTN_BUY_TITLE0,6元,$0.99
STR_SHOP_IAP_BTN_BUY_TITLE1,12元,$1.99
STR_SHOP_IAP_BTN_BUY_TITLE2,30元,$2.99
STR_UIVIEWALERT_TITLE_SHOP_START_BUY,购买,Buy
